SquareFootage,Bedrooms,Bathrooms,Price
2144,1,3,193751
1195,4,2,376478
2199,4,1,220629
1680,2,1,317231
1892,5,2,229172
1718,3,3,440144
1475,1,2,255514
1651,1,1,137443
720,2,1,338079
2392,1,1,418683
740,5,1,138402
1893,4,2,191280
2117,1,3,460123
579,2,3,499955
1912,4,3,229366
1583,5,2,417578
1783,1,1,108670
1887,5,1,144226
539,2,1,240063
676,3,1,291851
2041,5,2,235697
1539,3,1,151080
1603,4,3,480716
1172,1,1,231575
1131,1,2,231779
1819,5,1,303057
2149,1,3,458042
1442,3,3,340527
998,1,2,353232
1231,4,2,444586
1605,2,2,447296
639,4,1,415805
2122,3,1,396424
1953,4,3,232862
1525,3,2,335823
1817,1,1,435730
2053,1,2,181736
1318,4,1,392628
2067,3,2,271502
1072,4,2,440246
1078,1,2,317558
1557,4,3,403954
2176,4,2,237952
1515,3,2,454888
1185,2,1,380050
1210,2,3,389452
923,3,1,133698
1648,1,1,290767
615,2,3,131999
1455,4,3,311732
779,5,3,358632
1353,1,1,491290
1360,2,1,191155
793,4,2,230007
1933,2,2,325903
2191,3,3,220935
2309,4,3,107356
1224,1,1,342236
516,2,2,289824
2444,4,1,242391
900,5,3,169117
699,2,2,385291
784,1,3,462939
1124,5,3,127029
1658,4,2,214143
2157,1,2,217934
1403,1,2,234225
1590,3,1,159308
650,4,2,324004
2444,5,1,203785
1525,1,1,477393
2331,5,2,321074
1028,5,1,376681
1523,3,1,181205
677,5,1,207733
1007,5,1,307733
2292,1,1,414935
1444,5,1,467161
2296,1,2,364985
2489,4,1,461704
780,4,3,162449
1933,2,1,296597
2339,1,2,471271
1048,3,3,157753
1313,3,3,177530
1949,2,3,252710
1553,2,3,346153
1121,4,1,394275
922,1,3,157748
1712,5,2,176807
500,2,2,215141
735,5,2,164211
1415,5,1,415113
1845,1,2,496056
2350,5,2,337626
1829,2,3,387259
2246,3,3,297757
798,2,3,250991
2407,2,2,195017
2499,1,3,358513
1598,1,2,367200
2266,4,2,207763
1084,3,1,204181
1156,2,1,460802
1085,4,1,300316
2286,2,2,321213
994,4,3,374685
1958,3,3,128545
1469,5,1,166669
1693,2,1,445682
891,1,3,282086
1813,1,2,473632
2246,2,1,269422
2373,2,2,126997
775,3,1,313948
953,4,1,312278
569,1,3,353611
2298,2,1,476632
1032,5,3,374646
801,3,3,222867
1481,3,2,242096
937,4,1,447371
877,2,3,111227
571,1,1,153944
570,1,2,250518
1428,3,1,454133
868,4,3,483016
1810,5,2,484568
2428,2,2,148915
1845,3,2,482475
615,4,3,187332
1381,1,1,379002
1688,2,3,429709
1647,1,3,102396
1866,2,3,463438
1719,1,1,295678
1661,3,1,368064
1065,4,3,249129
1889,5,2,249652
1100,5,3,253844
1020,1,2,472257
2273,4,3,197073
1493,4,1,241522
1602,5,2,438120
1232,1,1,311298
1657,3,1,247022
1118,3,1,312064
595,2,1,390854
1616,1,1,142757
1534,4,1,221671
1598,1,2,306910
2448,2,2,363046
1972,5,2,328225
2037,4,1,195217
672,3,3,234044
1207,1,2,131782
1895,2,2,320909
1154,2,3,309661
895,4,1,482667
1232,2,3,107918
2177,4,1,170244
1657,3,3,476743
2344,3,3,477231
1613,3,2,381351
1170,3,1,415076
830,3,1,182415
1103,3,2,274008
639,4,1,166654
1972,5,1,242528
2341,4,1,221520
2239,2,2,233277
793,1,1,431648
1345,5,2,136604
2096,5,1,203284
1952,1,2,378201
585,3,2,476199
672,1,2,166271
1650,2,1,358102
601,1,1,120312
1675,1,1,291256
581,4,1,169622
1012,1,1,274406
1237,3,3,132036
694,2,3,432984
955,3,1,139894
2070,1,2,164479
1519,3,3,219860
1642,5,1,324522
742,4,3,393804
1188,4,1,119206
1248,1,2,282682
1240,4,3,489123
1880,1,3,241019
2051,4,1,307343
2156,3,3,455730
1618,5,3,311711
1318,5,3,348655
1554,3,2,251963
643,1,2,290107
1538,5,3,156683
1010,5,1,322611
1856,4,1,406621
1396,2,3,274466
2341,5,1,360602
2262,5,3,493438
2487,5,3,126965
870,1,2,374077
1902,5,2,303220
1546,4,1,151250
1052,5,1,382203
1240,3,2,398597
798,2,1,414571
662,2,1,339871
1149,1,2,227116
2398,3,1,144292
1556,1,2,184842
2360,4,3,200218
1201,4,2,422075
1985,5,1,484688
1856,4,2,490595
1601,1,1,403293
978,1,1,248684
1867,4,3,162080
2066,2,1,367605
2428,4,2,214057
801,2,1,406421
1019,5,3,343634
916,4,2,158034
2336,1,1,125660
1018,5,2,242016
787,3,1,239908
2360,3,1,156721
1751,3,3,350821
630,5,3,447608
968,2,2,445436
1007,2,2,109845
546,4,1,281144
2286,3,2,377180
2041,5,3,155336
803,1,1,265846
908,4,2,324002
742,2,2,458891
1845,4,1,447687
1479,1,2,259014
1761,2,3,208642
1129,4,3,194400
2447,4,2,139265
1424,5,2,278141
1740,1,1,388677
515,1,2,222355
2000,5,1,491956
1887,1,2,415386
1583,3,3,441918
1877,1,3,400280
727,2,1,443628
2243,3,1,345308
1262,2,2,289232
1343,4,3,356000
1290,4,3,368615
2383,1,3,426456
2038,4,2,358380
658,3,3,421234
1235,4,2,147544
1453,1,2,499924
1847,2,1,438189
1405,3,2,210608
946,1,3,354365
2343,2,2,452321
920,3,3,171797
892,5,3,177928
2476,3,1,245306
2253,2,1,153558
1533,2,1,401302
1659,2,2,491277
2301,1,1,446046
1732,5,1,326650
614,3,3,229239
1800,5,3,196570
577,5,2,109460
1719,5,2,304428
1452,5,2,371223
1545,4,1,182321
1146,3,2,247207
2038,5,1,208814
509,4,2,206187
1350,2,3,451597
1249,4,1,376320
1915,4,2,131555
1348,3,2,233971
1596,5,3,486000
2283,3,3,201872
1625,1,2,373397
1837,4,2,478530
1553,1,2,198322
1820,4,2,439228
1568,3,1,393943
2481,1,3,257881
1713,3,1,389087
1975,3,1,204120
1935,5,2,132039
1701,5,1,470058
2176,4,1,237687
2149,3,3,492078
957,5,1,346776
2361,5,2,403209
1268,3,1,420220
1785,5,1,238291
1474,1,1,267411
1223,5,3,467602
1505,3,3,269486
1334,4,2,184230
725,1,1,366794
1432,1,3,448128
1615,3,3,324015
2149,5,2,310356
1265,1,2,321156
1485,2,3,306661
2316,5,1,333300
2458,3,1,392708
1543,3,1,281337
531,2,2,481583
2266,4,3,149205
1910,3,2,144801
2345,2,1,118158
560,5,1,265005
1651,2,3,336795
1783,3,3,360882
1006,2,3,480295
2442,5,1,245160
1291,5,1,312865
2492,5,3,397723
1056,5,3,474510
1857,3,1,105127
2281,5,2,364908
717,3,1,231817
1992,2,2,105824
2024,2,1,363456
2337,5,2,239478
1631,1,2,185800
1718,2,1,233379
2411,2,1,294358
1709,4,3,368004
738,2,2,156206
804,1,2,363153
1556,3,2,153459
1435,2,1,429511
1466,4,3,492273
1648,4,3,181881
568,5,1,129459
1169,5,1,300949
2052,5,3,126563
1213,5,1,209232
1076,5,1,237638
814,4,1,261288
1881,3,1,467508
688,4,2,336161
2391,5,3,413079
1429,1,3,487093
2454,4,3,115800
825,3,2,230755
576,5,2,350302
1018,1,2,499038
1122,2,1,360200
1679,3,2,316300
2302,3,1,205434
1449,3,1,479995
2133,4,2,439813
880,3,2,289167
2138,3,2,425530
1103,2,2,130448
1903,4,2,102954
1142,4,3,100691
2004,2,1,378709
2472,4,1,148002
845,4,2,371897
1145,3,1,369241
1323,3,2,178308
1477,3,2,438325
1872,3,3,452364
2296,1,2,459413
2472,5,2,382720
1364,4,3,441036
2462,5,1,323844
1781,1,1,398528
